date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2017-10-26,299,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-27,300,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-28,301,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-29,302,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-30,303,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-31,304,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-01,305,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-02,306,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-03,307,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-04,308,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-05,309,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-06,310,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-07,311,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-08,312,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-09,313,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-10,314,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-11,315,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-12,316,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-13,317,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-14,318,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-15,319,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-16,320,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-17,321,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-18,322,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-19,323,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-20,324,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-21,325,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-22,326,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-23,327,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-24,328,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-25,329,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-26,330,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-27,331,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-28,332,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-29,333,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-30,334,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-01,335,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-02,336,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-03,337,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-04,338,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-05,339,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-06,340,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-07,341,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-08,342,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-09,343,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-10,344,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-11,345,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-12,346,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-13,347,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-14,348,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-15,349,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-16,350,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-17,351,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-18,352,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-19,353,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-20,354,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-21,355,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-22,356,Low,Low,No,No,No,0,particles/sq cm.sec.sr
